i_segment	zeta	curvature	lagrange_target	inequality_penalties	penalties	control_penalties	a__x__ctrl	a__x__ctrl_cell	v__x	a__x	lambda1__xo	lambda2__xo	penalty_scale	penalty_scale_cell	time	ax_max_wheeling_func	ax_max_wheeling_func_cell	ax_max_adherence_func	ax_max_adherence_func_cell	ax_min_stoppie_func	ax_min_stoppie_func_cell	ax_min_adherence_func	ax_min_adherence_func_cell	ax_max_engine_func	ax_max_engine_func_cell	ax_max_wheeling_pcell	ax_max_adherence_pcell	ax_max_power_pcell	ax_min_stoppie_pcell	ax_min_adherence_pcell	ay_max_adherence_pcell	ay_min_adherence_pcell	ay_min_pcell	ay_max_pcell	a__x__ctrlControl_pcell
0	2610.22	-0.000786791832992	0.0178898703794	9.8113109167e-05	0	2.05516342438e-05	8.0446279203	8.02061197905	55.8256084299	8.07131059823	-0.00743456141375	-3.09770583555e-06	0.0179129261306	0.0178898584207	58.6847512246	10.210195684	10.1916960702	11.3006826941	11.3442543426	-11.7719867642	-11.7550600027	-14.4179977937	-14.4341320029	8.51959802151	8.50139343493	0.000874946417344	0.000577911871318	0.00355357274201	9.8590323997e-05	8.68925739234e-05	0.000120991302744	0.000171381276667	0	0	0.00114878685792
0	2611.22	-0.000739155052901	0.0178441060526	9.61147323204e-05	0	2.02407562504e-05	7.99707027433	7.97352856961	55.9695747942	8.02343547374	-0.00716086608602	-3.07849695282e-06	0.0178668500462	0.0178440942641	58.702641083	10.1735623998	10.1560834573	11.3870293071	11.4281969035	-11.7385225692	-11.722657167	-14.4500038421	-14.4653929705	8.48321704495	8.46522180585	0.000870344458563	0.000556375826377	0.00348231545743	9.89876182803e-05	8.69549934862e-05	0.000122015965721	0.000169366618263	0	0	0.00113431121529
0	2612.22	-0.000692272957866	0.0177989597422	9.41254159164e-05	0	1.99251801299e-05	7.94918122167	7.92483387372	56.1123258278	7.97637168447	-0.00688659084897	-3.04986215388e-06	0.0178213963732	0.0177989481267	58.7204851773	10.1389764145	10.1225661942	11.4684985831	11.5069972717	-11.7071873197	-11.6924338539	-14.4805202567	-14.4951426311	8.4472540303	8.42946579033	0.000864864723018	0.00053709369002	0.00340943173244	9.9378820697e-05	8.70246127105e-05	0.000123050220073	0.000167413419751	0	0	0.0011194582954
0	2613.22	-0.000646287147483	0.0177544232994	9.21288898889e-05	0	1.961685011e-05	7.9007772206	7.87672056747	56.2538649023	7.92783495973	-0.0066117460663	-3.02928434951e-06	0.0177765563617	0.0177544118533	58.7382841254	10.1065302124	10.0912229973	11.5445709072	11.5801755106	-11.6780783546	-11.6644728242	-14.5095058912	-14.5233484872	8.41170429964	8.39412115978	0.000858446046736	0.000519807028432	0.00333433443921	9.97642131997e-05	8.71022659572e-05	0.000124090199372	0.000165526030894	0	0	0.00110490002553
0	2614.22	-0.000601337247866	0.0177104892903	9.01290830452e-05	0	1.93038874894e-05	7.85184790575	7.82697524402	56.3941921851	7.87976080422	-0.00633633316041	-3.00150159384e-06	0.0177323224476	0.0177104780162	58.7560385373	10.076288659	10.0621048436	11.6148079991	11.6473376139	-11.6512637689	-11.6388275177	-14.5369368562	-14.5499951979	8.37656407202	8.35918422251	0.00085110649879	0.000504309611596	0.00325743821321	0.000100143437167	8.718812065e-05	0.000125131757813	0.000163708357841	0	0	0.00108996987386
0	2615.22	-0.000557560503225	0.0176671510515	8.81125472975e-05	0	1.89959615534e-05	7.8021890888	7.77740293358	56.533307466	7.83018003373	-0.00606036063732	-2.97955606172e-06	0.0176886873389	0.0176671399471	58.7737490153	10.0482888264	10.0352348105	11.6788617897	11.7081846085	-11.6267823302	-11.615521878	-14.5628062911	-14.5750842147	8.34182974444	8.32465185412	0.000842816455968	0.000490394714427	0.00317822335564	0.000100517198879	8.7282976858e-05	0.000126170484172	0.000161963882367	0	0	0.00107521430239
0	2616.22	-0.000515090603683	0.0176244027911	8.60813334849e-05	0	1.86829523529e-05	7.75173518695	7.72606744032	56.6712070164	7.78067161866	-0.00578383023843	-2.95221829953e-06	0.0176456449871	0.0176243918592	58.7914161552	10.0225398734	10.0106085067	11.7364835993	11.7625189413	-11.604643238	-11.5945507889	-14.5871238501	-14.5986331103	8.30749866938	8.29052160136	0.000833611233863	0.000477892531985	0.00309694180958	0.000100885736761	8.73870996562e-05	0.000127201720801	0.000160295684419	0	0	0.00106006224227
0	2617.22	-0.000474057339095	0.0175822396804	8.40240677193e-05	0	1.83725422071e-05	7.70024441099	7.67442138166	56.8078858213	7.72951516477	-0.00550674871916	-2.92880213144e-06	0.017603189866	0.01758222892	58.8090405471	9.99902400407	9.9881955094	11.7875277132	11.8102462719	-11.5848272143	-11.5758815794	-14.609914889	-14.6206743661	8.27356858712	8.2567917461	0.000823485690468	0.000466631137872	0.00301312460721	0.000101250291301	8.75013358797e-05	0.000128220564797	0.000158706502665	0	0	0.00104494955052
0	2618.22	-0.000434587191429	0.0175406580109	8.194064074e-05	0	1.80559077981e-05	7.64757276803	7.62072415439	56.9433347494	7.67796573077	-0.00522911789037	-2.90144308062e-06	0.0175613178329	0.0175406474257	58.826622776	9.97769837088	9.96794123934	11.8319513915	11.8513743477	-11.5672884075	-11.5594559758	-14.6312188625	-14.6412539613	8.24003831937	8.22346145297	0.000812482482354	0.000456464372741	0.00292686634418	0.000101611827082	8.76261594834e-05	0.00012922186781	0.000157198799764	0	0	0.00102937521973
0	2619.22	-0.00039680336644	0.0174996553515	7.9820958701e-05	0	1.77389698575e-05	7.59341176418	7.56609937397	57.0775421008	7.6244741584	-0.00495094288691	-2.87630989466e-06	0.0175200256212	0.0174996449419	58.8441634235	9.95849692492	9.94976886029	11.8698125735	11.8860101566	-11.5519563984	-11.5451920846	-14.6510881005	-14.660430043	8.20690737263	8.1905308902	0.000800608505345	0.000447242966128	0.00283772878151	0.000101972269594	8.77626053622e-05	0.000130200256365	0.000155774799931	0	0	0.00101367598694
